lga,ward,schoolname,school code
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Salvation Army Primary School Surulere (24200094),24200094
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Clementina Ajigbeda Memorial Girls Primary School Surulere (24200096),24200096
 Surulere Local Government Area,la Osho Ward, Canal Nursery Primary School Orile- Iganmu (24200105),24200105
 Surulere Local Government Area,Unknown Ward, Central Nur And Primary School Orile Iganmu (24200107),24200107
 Surulere Local Government Area,Unknown Ward, Ijeshatedo Primary School Surelere (24200135),24200135
 Surulere Local Government Area,la Jinadu Aiyetoro Ward, Coker Primary School Ii Orile-Iganmu (24200140),24200140
 Surulere Local Government Area,Unknown Ward, Enitan Nursery And Primary School Surelere (24200141),24200141
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Dedeke Memorial Girls Primary School Dedeke (24200148),24200148
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Surulere Baptist Primary School Surulere (24200153),24200153
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Ideal Primary School Surulere (24200169),24200169
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Premier Day Primary School Surulere (24200192),24200192
 Surulere Local Government Area,Unknown Ward, Erinoso Primary School Surelere (24200211),24200211
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Mini Resource Centre (24200217),24200217
 Surulere Local Government Area,Unknown Ward, Wesley School For Deaf Ii Special Primary School Surelere (24200244),24200244
 Surulere Local Government Area,Unknown Ward, Immam Shuaib Primary School Ijeshatedo (24200264),24200264
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Jehovah Jireh Primary School Surulere (24200269),24200269
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Lagos Progressive Primary School Surulere (24200286),24200286
 Surulere Local Government Area,Unknown Ward, Obele Primary School Surulere (24200311),24200311
 Surulere Local Government Area,Unknown Ward, Odo Olowu Primary Ijeshatedo (24200312),24200312
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Onitolo Primary School Surulere (24200319),24200319
 Surulere Local Government Area,la Osho Ward, Orile Iganmu Primary School Orile-Iganmu (24200322),24200322
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Our Lady Of Lourdes Home Economic Centre (24200323),24200323
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Our Lady Of Lourdes Primary School Ojuelegba (24200324),24200324
 Surulere Local Government Area,Unknown Ward, Sanya Nursery And Primary School Ijeshatedo Surulere (24200356),24200356
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Shamsideen Islamiyyah Primary School Ojuelegba (24200360),24200360
 Surulere Local Government Area,Unknown Ward, Subuola Primary School Lawanson Surulere (24200372),24200372
 Surulere Local Government Area,Unknown Ward, Surulere Computer Centre (24200374),24200374
 Surulere Local Government Area,Unknown Ward, Wesley School For Deaf I Special Primary School Surelere (24200409),24200409
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Yaba Model Primary School Surelere (24200413),24200413
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Home Economics Centre (24200427),24200427
 Surulere Local Government Area,la Jinadu Aiyetoro Ward, Home Economics Centre Coker (24200428),24200428
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Surulere Primary School Ojuelegba (24200439),24200439
 Surulere Local Government Area,Unknown Ward, Umoru Primary School I Orile Iganmu (24200443),24200443
 Surulere Local Government Area,Unknown Ward, Duro Oyedoyin Primary School Ijeshatedo (24200448),24200448
 Surulere Local Government Area,Unknown Ward, Local Authority Nursery Primary School Surulere (24200452),24200452
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Estate Baptist Primary School Surelere (24200467),24200467
 Surulere Local Government Area,Unknown Ward, Sijuade Primary School Surulere (24200474),24200474
 Surulere Local Government Area,la Jinadu Aiyetoro Ward, Umoru Primary School Ii Orile-Iganmu (24200487),24200487
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Shitta Primary School Surulere (24200496),24200496
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Gbaja Primary School Gbaja (24200507),24200507
 Surulere Local Government Area,Unknown Ward, Jinadu Primary School Surulere (24200522),24200522
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Abimbola Gibson Mem Primary School Surulere (24200531),24200531
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Abina Omololu Primary School Surulere (24200532),24200532
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Adebola Baptist Primary School Surulere (24200538),24200538
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Adegoke Computer Centre (24200539),24200539
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Adegoke Primary School Surulere (24200540),24200540
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Adeniji Nursery And Primary School Surulere (24200541),24200541
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Adisa Bashua Primary School Surulere (24200543),24200543
 Surulere Local Government Area,Unknown Ward, Aguntasolo Primary School Ijeha Surulere (24200549),24200549
 Surulere Local Government Area,Unknown Ward, Aiyetoro Nursery Primary School Agudasurulere (24200551),24200551
 Surulere Local Government Area,Unknown Ward, Akanji Primary School Surulere (24200553),24200553
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Akin Jacobs Memorial Baptist Primary Surelere (24200554),24200554
 Surulere Local Government Area,la Shitta/Bankolemoh Ward, Akinsemoyin Primary School Surulere (24200555),24200555
 Surulere Local Government Area,Unknown Ward, Al Wajud Primary School Surulere (24200562),24200562
 Surulere Local Government Area,la Osho Ward, Alafia Primary School Surulere (24200563),24200563
 Surulere Local Government Area,la Mosafejo / Ojuelegba Ward, Anglican Girls Primary Surulere (24200571),24200571
 Surulere Local Government Area,Unknown Ward, Animashaun Primary School Surulere (24200572),24200572
 Surulere Local Government Area,la Jinadu Aiyetoro Ward, Coker I Nursry And Primary School (24201144),24201144
 Surulere Local Government Area,Unknown Ward, Home Economics Centre Sanya (24201148),24201148

